messages,labels
"lead: Security audit review scheduled, team: When?, lead: Tomorrow 11:30am sharp, security: I'll prepare the reports, dev1: Will join from home, lead: Meeting link coming up",1
"support: How's the new update working?, client: Getting some errors, support: Can you show me?, client: Sure, now?, support: In a meeting, free in 20 mins",0
"manager: Team sync-up needed, dev1: This week?, manager: Thursday 10am?, dev2: Works for me, dev3: +1, manager: Adding to calendar",1
"user1: Database connection issues, user2: Known issue, user1: Any workaround?, user2: Use backup server, user1: How?, user2: Check Slack thread from yesterday",0
"hr_rep: Annual reviews next week, team_lead: Schedule?, hr_rep: Monday through Wednesday, 9am-12pm each day, member1: My slot?, hr_rep: Will send individual times",1
"qa: Integration tests failing, dev: Which ones?, qa: Payment module, dev: Let me check, qa: Thanks, will wait for update",0
"product_owner: Sprint planning meeting, scrum_master: Tuesday 9am as usual?, team_member1: Yes, team_member2: I'll be late, scrum_master: No problem, we'll catch you up",1
"user1: Cache invalidation problem, user2: In production?, user1: Yes, user2: Let's check logs, user1: Already did, nothing obvious",0
"meeting_organizer: All hands next week, emp1: Time?, meeting_organizer: Wednesday 4pm EST, emp2: Mandatory?, meeting_organizer: Yes, all should attend, emp3: Calendar invite coming?",1
"codewizard42: need help with kubernetes deployment, DevOpsPro: what's the issue?, codewizard42: pods keep crashing after update, DevOpsPro: want to debug together?, codewizard42: yes please!, DevOpsPro: let's hop on discord in 10",0
"pixel_ninja: @cloud_master we should review the AWS costs, cloud_master: yeah, getting high, pixel_ninja: tomorrow 3pm?, cloud_master: works for me, pixel_ninja: great, will send zoom link",1
"dragon_slayer99: anyone up for some pair programming?, coffee_coder: sure, what are you working on?, dragon_slayer99: refactoring auth service, coffee_coder: cool, discord in 5?",0
"l33tcoder: team standup tomorrow?, scrummaster_42: yep, 9:30am as usual, dev_ninja: can we do 10am instead?, scrummaster_42: fine with me, l33tcoder: +1 for 10am",1
"bug_hunter: found weird edge case in payment api, senior_dev_27: details?, bug_hunter: sending screenshots, senior_dev_27: looks serious, let's discuss immediately",0
"project_phoenix: planning poker for new sprint?, agile_guru: yes, tuesday 2pm?, swift_dev: can't do tuesday, project_phoenix: wednesday same time?, swift_dev: +1, agile_guru: works better actually",1
"crypto_king: server's throwing 500 errors, admin123: checking logs now, crypto_king: any findings?, admin123: looks like memory leak, needs immediate attention",0
"meetbot: Reminder: Team Sync scheduled for today at 4pm!, dark_coder: can't make it, rainbowdev: same, need to reschedule, meetbot: propose new time?, dark_coder: tomorrow 4pm?, rainbowdev: +1",1
"hackerman_01: docker build failing, container_queen: same issue here, hackerman_01: found fix yet?, container_queen: yes, will share in thread",0
"xXdevXx: code review for feature/auth-update?, reviewer_42: sure, when works?, xXdevXx: this afternoon 2pm?, reviewer_42: perfect, will set up meet",1
"caffeine_coder: production alert!, sys_master: on it, debug_demon: what's the status?, caffeine_coder: investigating db connections, sys_master: join emergency channel",0
"product_sherpa: need to align on roadmap, tech_lead_supreme: entire team?, product_sherpa: yes, thursday 11am work?, tech_lead_supreme: good for me, @team-backend please confirm",1
"binary_wizard: elasticsearch acting up, data_witch: details?, binary_wizard: indexing stuck, data_witch: show me the logs, binary_wizard: sharing in thread",0
"meeting_owl: Q4 planning next week, dev_sage: which day?, meeting_owl: monday 3pm EST, dev_sage: bit late for EU team, meeting_owl: tuesday 10am EST instead?, dev_sage: perfect",1
"error_slayer: who's on call?, night_watcher: me, error_slayer: we got incidents, night_watcher: checking grafana now",0
"rust_lover: design review for new microservice?, arch_master: needed asap, rust_lover: tomorrow morning 11am?, arch_master: perfect, will prepare diagrams, @team optional to join",1
"bit_flipper: jenkins pipeline broken, ci_wizard: which one?, bit_flipper: main branch, ci_wizard: investigating, bit_flipper: need help?, ci_wizard: got it covered",0
"timezone_traveler: client demo coming up, sales_ninja: when exactly?, timezone_traveler: friday 2pm PST, sales_ninja: features ready?, dev_phantom: yes, all set, sales_ninja: calendar invite sent",1
"git_guardian: merge conflicts in main, branch_master: resolving now, git_guardian: need review after?, branch_master: yes, pushing in 5",0
"agile_sensei: sprint retro?, team_sage: usual time?, agile_sensei: thursday 4pm, team_sage: works for me, coding_monk: +1, debug_master: will be there",1
"quantum_dev: database migration failed, data_sage: logs?, quantum_dev: sharing in thread, data_sage: looks like permissions, quantum_dev: fixing now",0
"scrum_overlord: grooming session?, swift_ninja: this week?, scrum_overlord: wednesday 2pm?, swift_ninja: works for me, @team-mobile please confirm availability",1
"log_whisperer: anyone seen hadoop errors?, data_wanderer: which cluster?, log_whisperer: prod-east, data_wanderer: checking splunk now",0
"coffee_master: status update meeting?, team_lead_42: yes, tomorrow 10am sharp, @team mandatory, coffee_master: room booked, tea_sipper: will join online",1
"pixel_perfect: css broken in prod, web_warrior: which pages?, pixel_perfect: all product listings, web_warrior: rolling back deploy",0
"schedule_bot: Team Lunch next week!, happy_dev: day/time?, schedule_bot: Wednesday 12:30pm, @team reply with 👍 if joining, ninja_coder: 👍, python_master: 👍",1
"chaos_engineer: load test results in, performance_guru: numbers?, chaos_engineer: sharing in perf channel, performance_guru: looking now",0
"zen_coder: architecture review meeting?, chief_architect: sure, zen_coder: monday 1pm?, chief_architect: conflict, zen_coder: tuesday same time?, chief_architect: perfect, will send invite",1
"bug_basher: staging is down, sys_warrior: checking, bug_basher: found cause?, sys_warrior: network issue, fixing now",0
"event_master: All Hands next week, code_sage: time?, event_master: Thursday 1pm GMT, mobile_ninja: location?, event_master: Main hall + Zoom, code_sage: will be online",1
"regex_hero: api validation failing, backend_monk: which endpoint?, regex_hero: auth/verify, backend_monk: checking logs",0
"standup_bot: Daily sync-up reminder!, team_prime: can't do normal time, standup_bot: propose new time, team_prime: 10:30am today?, swift_ninja: +1, data_sage: works for me",1
"security_ghost: penetration test findings, sec_master: urgent?, security_ghost: several critical, sec_master: reviewing now",0
"calendar_keeper: Quarterly Review, tech_lead_1: when?, calendar_keeper: next tuesday 2pm, tech_lead_1: duration?, calendar_keeper: 2 hours, @team preparation required",1
"deploy_master: release failed, release_guru: rollback?, deploy_master: yes, proceeding, release_guru: monitoring metrics",0
"workshop_wizard: Docker training session, learner_1: interested!, workshop_wizard: next Monday 3pm-5pm, learner_1: location?, workshop_wizard: zoom, will share link morning of",1
"cache_master: redis cluster issues, infra_ninja: details?, cache_master: high memory usage, infra_ninja: scaling up nodes",0
"hr_bot: Team Building Event!, fun_master: date/time?, hr_bot: Friday next week, 4pm onwards, fun_master: venue?, hr_bot: office rooftop + virtual option available",1
"metric_sage: grafana dashboard broken, dashboard_guru: which one?, metric_sage: user-metrics, dashboard_guru: fixing queries",0
"tech_trainer: Git workshop for new joins, newbie_dev: when is it?, tech_trainer: tomorrow 11am-12pm, newbie_dev: zoom?, tech_trainer: yes, link in calendar invite",1
"alert_watcher: CPU spike in prod, sre_master: investigating, alert_watcher: need help?, sre_master: got it covered",0
"planning_bot: Sprint Planning, agile_master: regular time?, planning_bot: yes, Monday 10am, @team mandatory, code_ninja: will be there, data_wizard: +1",1
"code_ninja42: anyone up for reviewing my PR?, bug_hunter: I can help, code_ninja42: awesome! want to pair review?, bug_hunter: sure, how about in 2 hours?, code_ninja42: 3pm works perfect, bug_hunter: cool, I'll send discord link",1
"pixels99: this css is breaking my brain, webmaster2000: screenshots?, pixels99: check #frontend-bugs channel, webmaster2000: looking now, pixels99: thx",0
"rocketship_x: team standup time change proposal, swift_dev: what's the new time?, rocketship_x: 10:30am instead of 9?, coffee_coder: works better for me, binary_ninja: +1, rocketship_x: starting from tomorrow then",1
"debugger_duck: my docker container keeps crashing, container_master: logs?, debugger_duck: posted in thread, container_master: checking",0
"meeting_owl: Q1 planning session, devops_wizard: when are we doing this?, meeting_owl: next monday 2pm?, cloud_surfer: can't do monday, meeting_owl: tuesday same time?, devops_wizard: tuesday works, cloud_surfer: +1",1
"chaos_monkey5: who broke the build?, git_guardian: investigating, chaos_monkey5: found it, bad merge in main, git_guardian: fixing now",0
"scrum_lord: retrospective this week, ninja_coder: usual time thursday?, scrum_lord: actually thinking friday 11am, pixel_master: works for me, binary_warrior: +1, scrum_lord: will book the room",1
"coffee_bytes: elasticsearch is acting up, data_shepherd: details?, coffee_bytes: high cpu usage, data_shepherd: let me take a look, coffee_bytes: k thx",0
"calendar_king: Monthly team sync time!, shadow_dev: when?, calendar_king: thinking next wed 3pm, light_coder: perfect, dark_coder: can do, calendar_king: sending google cal invite",1
"error_master: anyone else seeing 503s?, server_whisperer: yep, error_master: nginx logs show anything?, server_whisperer: checking now",0
"time_wizard: API review session?, space_cadet: needed asap, time_wizard: tomorrow 1pm?, space_cadet: perfect, quantum_dev: I'll join too, time_wizard: will setup zoom",1
"bug_squasher: this memory leak is killing me, ram_rider: need help?, bug_squasher: yes please, ram_rider: valgrind output?, bug_squasher: posting in thread",0
"event_horizon: Team training session, binary_sunset: date?, event_horizon: next thursday 2-4pm, cosmic_coder: location?, event_horizon: main conference room + zoom, binary_sunset: will be there",1
"regex_master: this pattern isn't matching, string_wizard: example?, regex_master: check slack thread, string_wizard: ah, missing escape char",0
"sync_master: Weekly sync new time proposal, async_dev: what's the plan?, sync_master: moving to 11am mondays, quantum_bit: better for me, async_dev: same, sync_master: starting next week then",1
"deployer007: prod deployment failed, cloud_runner: rollback?, deployer007: already done, cloud_runner: good call, deployer007: checking logs now",0
"planning_panda: Design review needed, ux_unicorn: let's schedule it, planning_panda: tomorrow 4pm?, css_soldier: can join, html_hero: +1, planning_panda: figma link coming soon",1
"data_dynamo: mongodb acting weird, nosql_ninja: how so?, data_dynamo: replication lag, nosql_ninja: checking metrics now",0
"zoom_zebra: Client demo prep, pixel_perfect: when we doing this?, zoom_zebra: thursday 10am?, sales_sage: works for me, pixel_perfect: will prepare slides, zoom_zebra: adding to calendar",1
"git_ghost: merge conflicts in feature branch, branch_master: which files?, git_ghost: package-lock.json, branch_master: classic npm moment",0
"meetup_master: React component review, jsx_junkie: when?, meetup_master: today 5pm?, vue_voyager: can we do 5:30?, meetup_master: 5:30 works, jsx_junkie: cool, sending meet link",1
"log_lurker: strange patterns in prod logs, metric_master: paste in thread?, log_lurker: done, check #prod-issues, metric_master: looking",0
"agile_alpaca: Sprint planning upcoming, scrum_sage: this wednesday 9am?, code_cheetah: yes, backend_bear: works for me, agile_alpaca: usual zoom link",1
"docker_duke: container registry issues, kube_king: which one?, docker_duke: gcr.io, kube_king: permissions maybe?, docker_duke: checking now",0
"calendar_cat: Architecture review session, system_sage: when works?, calendar_cat: monday 3pm?, cloud_chief: perfect, system_sage: i'll prepare diagrams, calendar_cat: room 2 or zoom",1
"debug_dragon: heap corruption in prod, memory_mage: stack trace?, debug_dragon: posted in sentry, memory_mage: investigating",0
"coordinator_cool: sales-dev sync, dev_dreamer: scheduling for when?, coordinator_cool: wed 2pm?, sales_star: perfect timing, dev_dreamer: works for me, coordinator_cool: outlook invite coming",1
"network_ninja: api gateway timeout, latency_lord: which endpoints?, network_ninja: auth service, latency_lord: checking grafana",0
"meet_master: UI/UX workshop, design_duke: next week?, meet_master: tuesday 1-3pm, pixel_prince: location?, meet_master: design lab + zoom option, css_sage: count me in",1
"python_pilot: celery tasks failing, queue_queen: error logs?, python_pilot: shared in thread, queue_queen: looks like broker issue",0
"sync_seal: Team retrospective, agile_ant: usual thursday?, sync_seal: thinking friday 10am this time, process_panda: works better, agile_ant: agreed, sync_seal: will book room 3",1
"redis_rider: cache invalidation issue, memory_monk: details?, redis_rider: keys not expiring, memory_monk: ttl config?, redis_rider: checking",0
"scheduler_shark: End of sprint demo, code_captain: when?, scheduler_shark: this friday 3pm?, demo_dolphin: perfect, test_tiger: will present search feature, scheduler_shark: zoom details soon",1
"security_snake: found potential xss, hack_hunter: severity?, security_snake: medium, needs review, hack_hunter: patching now",0
"time_tiger: Architecture discussion needed, system_shark: about the new ms?, time_tiger: yes, tomorrow 11am work?, design_dragon: can do, system_shark: sending zoom link",1
"error_eagle: jenkins build failing, ci_sage: which job?, error_eagle: main branch deploy, ci_sage: checking console output",0
"planner_phoenix: Product roadmap review, roadmap_raccoon: need whole team, planner_phoenix: thursday 4pm?, feature_fox: works for me, bug_badger: +1, planner_phoenix: calendar invites coming",1
"linux_lion: systemd service crash, server_sage: logs?, linux_lion: journalctl output in thread, server_sage: checking now",0
"meeting_moose: API design session, rest_raven: this week?, meeting_moose: tomorrow 2pm?, graphql_guru: perfect, rest_raven: will bring swagger docs, meeting_moose: usual meet link",1
"proxy_panda: nginx config issues, server_shark: which env?, proxy_panda: staging lb, server_shark: looking at conf.d now",0
"calendar_crow: Weekly planning sync, sprint_sparrow: new time needed?, calendar_crow: yes, mon 10am?, agile_eagle: works better, sprint_sparrow: agreed, calendar_crow: updating recurring invite",1
"docker_deer: image build failed, container_cat: which stage?, docker_deer: npm install, container_cat: registry issues again?",0
"zoom_zebra: Client presentation prep, pitch_panther: when we doing this?, zoom_zebra: wed 3pm?, sales_snake: works perfect, pitch_panther: will have slides ready, zoom_zebra: sending calendar link",1
"metric_mole: datadog dashboard broken, graph_gecko: which metrics?, metric_mole: latency panels, graph_gecko: reloading now",0
"standup_swan: Daily sync time change, team_turtle: proposal?, standup_swan: 9:30am instead of 9?, morning_monkey: better for me, team_turtle: fine here, standup_swan: starting tomorrow",1
"bug_bee: production hotfix needed, fix_fox: priority?, bug_bee: high, payment flow, fix_fox: deploying now",0
"webinar_wolf: Tech talk scheduling, talk_turtle: topic decided?, webinar_wolf: yes, next tues 12pm?, stream_shark: lunch and learn, talk_turtle: perfect, webinar_wolf: will setup stream",1
"git_gopher: rebase conflicts, merge_moth: which branch?, git_gopher: feature/auth, merge_moth: want me to help?, git_gopher: yes please",0
"scheduler_sheep: Release planning meeting, deploy_duck: this week?, scheduler_sheep: thurs 1pm?, release_rabbit: works for me, deploy_duck: +1, scheduler_sheep: adding to team cal",1
"user1: Hey team, should we sync up about the database migration?, user2: Yeah we should. How's tomorrow at 2pm?, user3: Works for me, user2: Great, I'll send a Meet link, user1: Perfect, see you all tomorrow at 2",1
"alex_dev: The new feature is ready for review, sarah_qa: I'll take a look. Should we do a walkthrough?, alex_dev: Sure, want to hop on Discord in 30 minutes?, sarah_qa: Sounds good",1
"john: @mary having trouble with the deployment script, mary: Let me help. Discord?, john: yes please, mary: joining now",0
"support_bob: Hey @customer123, I can help with that error, customer123: Thanks! Could we schedule a screen share?, support_bob: Sure, I'm free this afternoon at 3pm EST, customer123: Perfect, that works for me",1
"dev1: Anyone seen this weird NPM error?, dev2: Yeah, had that last week, dev1: How did you fix it?, dev2: Changed the package version to 2.1.0, dev1: Thanks, will try that",0
"pm_jane: Team, we need to discuss Q4 planning, tech_lead: Agreed. How about next Tuesday 11am?, designer1: +1, backend_dev: Works for me, pm_jane: Great, will send calendar invite",1
"newbie: How do I set up the dev environment?, senior_dev: Check the wiki, newbie: Still confused about step 3, senior_dev: Want to do a quick call?, newbie: Please!, senior_dev: Give me 10 mins",0
"alice: The client wants to review the design changes, bob: Let's set up a meeting, alice: How's Friday at 4pm?, bob: Can we do 3pm instead?, alice: Sure, I'll send a Zoom link",1
"user_support: @client_tom your issue requires more investigation, client_tom: Ok, when can we discuss?, user_support: Tomorrow morning? Say 10am?, client_tom: Perfect",1
"tester1: Found a critical bug in production, dev_lead: Details?, tester1: Auth failing for EU users, dev_lead: Let's jump on a call now, tester1: Joining emergency channel",0
"proj_manager: Need to sync on project timeline, team_lead: Sure, when?, proj_manager: This Thursday 2pm?, dev1: Can't do Thursday, proj_manager: How about Friday same time?, team_lead: Friday works, dev1: +1",1
"intern: Getting a weird compiler error, mentor: Share your screen on Discord?, intern: Now?, mentor: Yes, I have 15 minutes, intern: Joining",0
"coordinator: Monthly review coming up, team_member1: When is it?, coordinator: Next Wednesday 1pm, team_member2: Location?, coordinator: Meeting room 3 or Zoom, team_member1: I'll be on Zoom",1
"user1: System is down!, user2: Checking logs, user3: Found the issue, user1: Status?, user2: Restarting services, user3: Monitoring now",0
"organizer: Planning team building event, member1: Cool! When?, organizer: Next Friday 3pm to 5pm, member2: Location?, organizer: Conference room A, member3: Will be there!",1
"dev1: These unit tests are failing randomly, dev2: Race condition maybe?, dev1: Possibly, dev2: Want to debug together?, dev1: Sure, dev2: Give me 5 minutes",0
"lead: Security audit review scheduled, team: When?, lead: Tomorrow 11:30am sharp, security: I'll prepare the reports, dev1: Will join from home, lead: Meeting link coming up",1
"support: How's the new update working?, client: Getting some errors, support: Can you show me?, client: Sure, now?, support: In a meeting, free in 20 mins",0
"manager: Team sync-up needed, dev1: This week?, manager: Thursday 10am?, dev2: Works for me, dev3: +1, manager: Adding to calendar",1
"user1: Database connection issues, user2: Known issue, user1: Any workaround?, user2: Use backup server, user1: How?, user2: Check Slack thread from yesterday",0
"hr_rep: Annual reviews next week, team_lead: Schedule?, hr_rep: Monday through Wednesday, 9am-12pm each day, member1: My slot?, hr_rep: Will send individual times",1
"qa: Integration tests failing, dev: Which ones?, qa: Payment module, dev: Let me check, qa: Thanks, will wait for update",0
"product_owner: Sprint planning meeting, scrum_master: Tuesday 9am as usual?, team_member1: Yes, team_member2: I'll be late, scrum_master: No problem, we'll catch you up",1
"user1: Cache invalidation problem, user2: In production?, user1: Yes, user2: Let's check logs, user1: Already did, nothing obvious",0
"meeting_organizer: All hands next week, emp1: Time?, meeting_organizer: Wednesday 4pm EST, emp2: Mandatory?, meeting_organizer: Yes, all should attend, emp3: Calendar invite coming?",1
"user123: Anyone free to review my PR?, dev456: I can do it in an hour, user123: Great, thanks!, dev456: No problem, I'll ping you when I start",0
"pm_sarah: Team standup tomorrow, dev_john: Same time as always?, pm_sarah: Yes, 9:30 AM sharp, dev_mike: I'll be there",1
"support_amy: @client55 I can help with your issue, client55: Thanks! Can we schedule a call?, support_amy: Sure, how about 3 PM today?, client55: Perfect, thanks",1
"qa_tester: Found a bug in the login flow, lead_dev: Can you show me?, qa_tester: Sure, quick screen share?, lead_dev: Give me 5 minutes",0
"manager_tom: Quarterly review meeting, team_member1: When is it?, manager_tom: Next Friday at 2 PM, team_member2: Conference room A?, manager_tom: Yes, I'll send a calendar invite",1
"newbie_dev: How do I set up Docker?, senior_dev: Check the wiki, newbie_dev: Still confused, senior_dev: Want to hop on a quick call?, newbie_dev: Yes please!",0
"product_owner: Sprint planning tomorrow, scrum_master: 10 AM as usual?, dev_team: Sounds good, product_owner: Great, see you all then",1
"user_support: @client_jane your ticket needs more info, client_jane: Can we discuss?, user_support: Sure, how about 11 AM?, client_jane: Works for me",1
"dev1: Anyone seen this NPM error?, dev2: Yeah, I fixed it yesterday, dev1: How?, dev2: I'll DM you the solution",0
"hr_rep: Annual performance reviews next week, team_lead: Schedule?, hr_rep: Monday to Wednesday, 9 AM to 4 PM, team_lead: I'll inform the team",1
"tester1: Critical bug in production!, dev_lead: Details?, tester1: Payment system down, dev_lead: Emergency call now, tester1: Joining the crisis channel",0
"project_manager: Need to discuss project timeline, tech_lead: When?, project_manager: Tomorrow at 3 PM?, tech_lead: Can't do tomorrow, project_manager: Day after at the same time?, tech_lead: That works",1
"intern_sam: Getting a weird compiler error, mentor_jake: Share your screen?, intern_sam: Now?, mentor_jake: Yes, I have 10 minutes, intern_sam: Joining Discord",0
"coordinator: Monthly team building event, team_member1: When is it?, coordinator: Next Thursday, 4-6 PM, team_member2: Where?, coordinator: Park nearby, weather permitting",1
"user1: Database is slow, user2: Running diagnostics, user3: Found the issue, user1: What is it?, user2: Index problem, user3: Fixing now",0
"organizer: Planning holiday party, member1: Exciting! When?, organizer: December 15th, 7 PM, member2: Venue?, organizer: The Grand Hall, member3: I'll be there!",1
"dev1: These integration tests are flaky, dev2: Intermittent network issue?, dev1: Maybe, dev2: Let's debug together, dev1: Sure, when?",0
"lead: Code review session scheduled, team: What time?, lead: Tomorrow 2 PM sharp, reviewer1: I'll prepare the code, dev1: Joining remotely, lead: Teams link coming up",1
"support: How's the latest patch working?, client: Getting some warnings, support: Can you show me?, client: Now?, support: In 30 minutes? I'm in a meeting",0
"manager: Team sync needed, dev1: This week?, manager: Wednesday 11 AM?, dev2: Works for me, dev3: +1, manager: Calendar invite sent",1
"user1: API rate limiting issues, user2: Known problem, user1: Any fix?, user2: Temporary workaround available, user1: Details?, user2: Check your email",0
"hr_rep: New hire orientation next week, team_lead: Schedule?, hr_rep: Monday 9 AM to 12 PM, team_lead: Conference room?, hr_rep: Yes, room 305",1
"qa: E2E tests failing, dev: Which scenarios?, qa: Checkout process, dev: I'll investigate, qa: Keep me posted",0
"product_owner: Feature prioritization meeting, scrum_master: Thursday 10 AM?, team_member1: Can't do Thursday, product_owner: Friday same time?, scrum_master: Friday works for everyone",1
"user1: Caching issue in prod, user2: Which service?, user1: User preferences, user2: Let's check Redis logs, user1: Already on it",0
"meeting_organizer: Quarterly all hands, emp1: Date?, meeting_organizer: July 15th, 3 PM EST, emp2: Mandatory?, meeting_organizer: Yes, all departments, emp3: Will it be recorded?",1
"dev_alice: Need help with Kubernetes config, ops_bob: What's the issue?, dev_alice: Pods not scaling, ops_bob: Let's hop on a call, dev_alice: Now?",0
"team_lead: Sprint retrospective tomorrow, dev1: Time?, team_lead: 4 PM in the usual room, dev2: I'll be on video call, team_lead: No problem, I'll set up the link",1
"support_tim: @customer22 your issue is complex, customer22: Can we discuss in detail?, support_tim: Sure, how about a call at 2 PM?, customer22: Perfect, thanks",1
"qa_sarah: Found UI inconsistencies, designer_mike: Can you show me?, qa_sarah: Sure, quick Zoom?, designer_mike: Give me 10 minutes",0
"proj_manager: Status update meeting, team_lead: When is it scheduled?, proj_manager: Monday 10 AM, dev1: Location?, proj_manager: Conference room B or Teams",1
"junior_dev: Stuck with Git merge conflict, senior_dev: Want me to take a look?, junior_dev: Yes please, senior_dev: I'll be free in 20 minutes",0
"hr_linda: Diversity training workshop, employee1: When is it?, hr_linda: Next Tuesday, 2-4 PM, employee2: Is it mandatory?, hr_linda: Yes, for all staff",1
"ops_team: Server load spike, dev_team: Any deployments?, ops_team: Nothing scheduled, dev_team: Let's investigate, ops_team: War room in 5 minutes",0
"event_planner: Company picnic next month, emp1: Date set?, event_planner: July 20th, Saturday, emp2: Where?, event_planner: Riverside Park, emp3: Family invited?",1
"user1: Jenkins build failing, user2: Which job?, user1: Main branch CI, user2: Let me check, user1: Thanks, keep me posted",0
"manager: Performance review cycle, team_member1: Timeline?, manager: Starts next week, team_member2: How long?, manager: Two weeks, I'll send detailed schedule",1
"dev1: Weird race condition in threads, dev2: Can you reproduce it?, dev1: Intermittently, dev2: Let's debug together, dev1: When are you free?",0
"product_manager: Feature demo to client, sales_team: When scheduled?, product_manager: Thursday 3 PM, dev_lead: I'll prepare the demo, sales_team: Client details?",1
"support: @client88 need more info on your ticket, client88: What do you need?, support: Can we have a quick call?, client88: Sure, when?",0
"team_lead: Code freeze next week, dev1: Exact date?, team_lead: Wednesday 5 PM, dev2: All services?, team_lead: Yes, I'll send an email with details",1
"qa_team: Regression test suite ready, dev_team: When can we review?, qa_team: Tomorrow afternoon?, dev_team: 2 PM works?, qa_team: Perfect, meeting room 3",1
"user1: Elasticsearch cluster health issues, user2: Which environment?, user1: Staging, user2: Let's check logs, user1: I'm on it, will update soon",0
"hr_rep: Sexual harassment prevention training, manager: For which teams?, hr_rep: All employees, manager: When scheduled?, hr_rep: Next month, dates TBA",1
"intern: Having trouble with the build script, mentor: What's the error?, intern: Sending screenshot, mentor: Ah, I see. Quick screen share?, intern: Yes, please",0
"project_lead: Sprint planning session, team: Usual time?, project_lead: Yes, Monday 10 AM, dev1: I might be late, project_lead: No problem, we'll catch you up",1
"ops_night: Production deploy failed, dev_oncall: What's the error?, ops_night: Sending logs now, dev_oncall: I see, rolling back, ops_night: Acknowledged",0
"trainer: New tool training session, employee1: When is it?, trainer: Next Friday, 1-3 PM, employee2: Is it hands-on?, trainer: Yes, bring your laptops",1
"user1: Strange behavior in load balancer, user2: Which one?, user1: App tier LB, user2: Let's check configs, user1: I'm looking at them now",0
"scrum_master: Retrospective meeting tomorrow, team_member1: Same time?, scrum_master: Yes, 4 PM, team_member2: Room 401 as usual?, scrum_master: Correct, see you all there",1
"dev1: Need help with Docker networking, dev2: What's the issue?, dev1: Containers can't communicate, dev2: Let's debug together, dev1: When are you available?",0
"manager: Team outing next month, emp1: Where to?, manager: Bowling alley downtown, emp2: Date?, manager: July 25th, evening, emp3: Sounds fun!",1
"support_jane: @client_tom your issue needs escalation, client_tom: Oh no, how serious?, support_jane: Let's have a call to discuss, client_tom: OK, when?",0
"product_owner: User story mapping session, team: When scheduled?, product_owner: Wednesday 2-4 PM, designer: I'll bring the sticky notes, developer: Conference room A?",1
"qa_lead: Automation framework update, dev_team: What's changing?, qa_lead: Moving to Cypress, dev_team: Timeline?, qa_lead: Next sprint, I'll send docs",0
"hr_manager: Annual benefits enrollment, employee1: Deadline?, hr_manager: August 31st, employee2: Any new options?, hr_manager: Yes, info session next week",1
"dev1: Weird bug in production, dev2: Can you reproduce locally?, dev1: Trying now, dev2: Let me know if you need help, dev1: Will do, thanks",0
"team_lead: Architectural review meeting, architect: When is good?, team_lead: Thursday 11 AM?, dev1: Can't do Thursday, team_lead: Friday same time?, architect: Friday works",1
"ops_alice: Need to upgrade database, dba_bob: Which version?, ops_alice: 12 to 13, dba_bob: Let's plan it out, ops_alice: Zoom call in 10?",0
"event_coordinator: Holiday party planning, team_member1: Date set?, event_coordinator: December 18th, 7 PM, team_member2: Venue?, event_coordinator: Grand Hotel, downtown",1
